Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
18,"MA Zaman, SA Mamun, M Gaffar, SM Choudhury, MM Alam, MA Matin","Phased Array Synthesis Using Modified Particle Swarm Optimization.",2011,"Journal of Engineering Science &Technology Review","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13622734415923798142",11,"2025-07-17 23:31:15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:u5HHmVD_uO8C",4,1,,,18,1.29,3,6,14,"","",""
13,"A Sarker, SA Mitu, P Das, SM Choudhury","Structurally tunable gear-shaped plasmonic sensor",2020,"Optics Express","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3519543545455367010",12,"2025-07-17 23:31:15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:9ZlFYXVOiuMC",28,24,36070,36083,13,2.60,3,4,5,"","",""
13,"A Shaltout, SM Choudhury, AV Kildishev, A Boltasseva, VM Shalaev","System for producing ultra-thin color phase hologram with metasurfaces",2018,"US Patent 9,952,557","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6923971287762520710,11669643195606815800",13,"2025-07-17 23:31:15","Patent","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:hqOjcs7Dif8C",,,,,13,1.86,3,5,7,"","",""
12,"MA Zaman, M Gaffar, SM Choudhury, MA Matin","Optimization and analysis of a Ka band Pickett Potter horn antenna with low cross polarization",2010,"International Conference on Electrical &Computer Engineering (ICECE 2010 …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6593672257553828483",14,"2025-07-17 23:31:15","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:9yKSN-GCB0IC",,,,,12,0.80,3,4,15,"","",""
11,"M Gaffar, MA Zaman, SM Choudhury, MA Matin","Design and optimisation of a novel dual-band circularly polarised microstrip antenna",2011,"IET microwaves, antennas &propagation","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8711526624578623110",15,"2025-07-17 23:31:15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:qjMakFHDy7sC",5,14,1670,1674,11,0.79,3,4,14,"","",""
10,"H Jiang, H Reddy, D Shah, ZA Kudyshev, SM Choudhury, D Wang, ...","Modulating phase by metasurfaces with gated ultra-thin TiN films",2019,"Nanoscale","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11227035606952378394",16,"2025-07-17 23:31:15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:ULOm3_A8WrAC",11,23,11167,11172,10,1.67,1,7,6,"","",""
9,"SM Choudhury, MA Zaman, M Gaffar, MA Matin","A novel approach for changing bandwidth of FSS filter using gradual circumferential variation of loaded elements",2010,"Proc. of Progress in Electromagnetic Research, USA","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14490815659836689039",17,"2025-07-17 23:31:15","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:2osOgNQ5qMEC",,,1132,1134,9,0.60,2,4,15,"","",""
7,"P Ahmmed, Z Ahmed, MIJ Rafee, MA Awal, SM Choudhury","Self-localization of a mobile robot using monocular vision of a chessboard pattern",2014,"8th International Conference on Electrical and Computer Engineering","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11487885256991801545",18,"2025-07-17 23:31:15","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:_FxGoFyzp5QC",,,753,756,7,0.64,1,5,11,"","",""
7,"MA Zaman, SM Choudhury, M Gaffar, MA Matin","Modeling the illumination function of a cassegrain reflector for a corrugated horn feed and calculation of the far field pattern",2009,"2009 Loughborough Antennas &Propagation Conference","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16001694720279421257",19,"2025-07-17 23:31:15","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:u-x6o8ySG0sC",,,101,104,7,0.44,2,4,16,"","",""
5,"ME Karim, SM Choudhury","Reconfigurable broadband metasurface with switchable functionalities in the visible range",2023,"Optical Materials Express","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1808940088833980222",20,"2025-07-17 23:31:15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:O3NaXMp0MMsC",13,5,1409,1423,5,2.50,3,2,2,"","",""
5,"SM Choudhury, MA Matin","Effect of FSS ground plane on second iteration of hexaflake fractal patch antenna",2012,"2012 7th International Conference on Electrical and Computer Engineering …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=963669230748856147",21,"2025-07-17 23:31:15","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:Y0pCki6q_DkC",,,,,5,0.38,3,2,13,"","",""
5,"MA Matin, MA Zaman, SM Choudhury, M Gaffar","Analysis of a conical corrugated horn operating in the K-band with low cross-polarization and high aperture efficiency, and observing its radiation patterns",2009,"2009 IEEE Antennas and Propagation Society International Symposium","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16846289187853578595",22,"2025-07-17 23:31:15","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:d1gkVwhDpl0C",,,1,4,5,0.31,1,4,16,"","",""
4,"SM Choudhury, A Shaltout, VM Shalaev, A Boltasseva, AV Kildishev","Color hologram generation using a Pancharatnam-Berry phase manipulating metasurface",2015,"CLEO: Applications and Technology, JTu5A.","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11457636406929962215",23,"2025-07-17 23:31:15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:roLk4NBRz8UC",89,,,,4,0.40,1,5,10,"","",""
3,"MAH Bhuiyan, SA Mitu, SM Choudhury","TiN-GST-TiN all-optical reflection modulator for the 2 µm wave band reaching 85% efficiency",2022,"Applied Optics","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1361084146022103798",24,"2025-07-17 23:31:15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:BqipwSGYUEgC",61,31,9262,9270,3,1.00,1,3,3,"","",""
2,"ME Karim, MR Karim, SM Choudhury","Synergizing deep learning and phase change materials for four-state broadband multifunctional metasurfaces in the visible range",2025,"Optics &Laser Technology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1287030989494005811",25,"2025-07-17 23:31:15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:D03iK_w7-QYC",181,,111730,111730,2,2.00,1,3,1,"","",""
2,"J Kim, B Memarzadeh, A Dutta, SM Choudhury, AV Kildishev, H Mosallaei, ...","GZO/ZnO multilayered nanodisk metasurface to engineer the plasma frequency",2014,"2014 Conference on Lasers and Electro-Optics (CLEO)-Laser Science to …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17127335088702943366",26,"2025-07-17 23:31:15","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:WF5omc3nYNoC",,,,,2,0.18,0,7,11,"","",""
2,"J Kim, Y Zhao, A Dutta, SM Choudhury, AV Kildishev, A Alu, A Boltasseva","Nanostructured transparent conducting oxide films for polarization control with plasmonic metasurfaces",2014,"CLEO: QELS_Fundamental Science, FF2C.","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11585890882993332255",27,"2025-07-17 23:31:15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:YsMSGLbcyi4C",2,,,,2,0.18,0,7,11,"","",""
2,"SM Choudhury, M Gaffar, MA Zaman, MA Matin","Design of an X band aperture matched horn antenna by optimization of back-lobe and cross-polarization level",2010,"International Conference on Electrical &Computer Engineering (ICECE 2010 …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1454016039563749696",28,"2025-07-17 23:31:15","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:IjCSPb-OGe4C",,,,,2,0.13,1,4,15,"","",""
1,"MM Haque, MR Islam, SM Choudhury","Investigation of the physical properties through strain effect of monolayer silicon carbide material: DFT analysis",2025,"Physica B: Condensed Matter","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2390171604816978847",29,"2025-07-17 23:31:15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:b0M2c_1WBrUC",697,,416670,416670,1,1.00,0,3,1,"","",""
1,"KR Pritom, ME Karim, SM Choudhury","A polarization insensitive achromatic metalens operating at two wavelengths in visible regime",2023,"2023 IEEE International Conference on Telecommunications and Photonics (ICTP …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2760408256961761612",30,"2025-07-17 23:31:15","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:cFHS6HbyZ2cC",,,,,1,0.50,0,3,2,"","",""
1,"MAH Bhuiyan, SA Mitu, SM Choudhury","VO2-based All-optical Reflection Modulator for 2μm Wave Band",2023,"2023 IEEE Photonics Conference (IPC)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8807099710533000875",31,"2025-07-17 23:31:15","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:2P1L_qKh6hAC",,,1,2,1,0.50,0,3,2,"","",""
1,"H Roy, ME Karim, S Mondal, SM Choudhury","Custom gold-patterned rewritable optical disc based plasmonic sensor for blood hemoglobin detection",2022,"Optics Continuum","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17362210563376785320",32,"2025-07-17 23:31:15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:YFjsv_pBGBYC",1,10,2219,2232,1,0.33,0,4,3,"","",""
1,"YF Abed, MAH Bhuiyan, SM Choudhury","T Grating on Nano-Cavity Array based Refractive Index Sensor",2021,"Journal of the Optical Society of America B","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6629664198550665835",33,"2025-07-17 23:31:15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:HDshCWvjkbEC",38,9,2669,2679,1,0.25,0,3,4,"","",""
1,"SM Choudhury","Multiport Analysis of Hexagonal Patch Antenna",2013,"International Journal of Electronics, Computer and Communications …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12124504859358330178",34,"2025-07-17 23:31:15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:eQOLeE2rZwMC",,,,,1,0.08,1,1,12,"","",""
1,"MA Zaman, M Gaffar, MM Alam, SA Mamun, SM Choudhury, MA Matin","Approximate Closed-Form Expression of the Electric Field of a Conical Horn Antenna",2011,"International Journal of Computer and Electrical Engineering","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4757216157682683893",35,"2025-07-17 23:31:15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:zYLM7Y9cAGgC",3,1,48,48,1,0.07,0,6,14,"","",""
1,"M Gaffar, SM Choudhury, MA Zaman, MI Momtaz, MS Alam, MA Matin","Sensitivity analysis of a circularly polarized U-slot microstrip antenna",2010,"International Conference on Electrical &Computer Engineering (ICECE 2010 …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18221437120184121424",36,"2025-07-17 23:31:15","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:Tyk-4Ss8FVUC",,,,,1,0.07,0,6,15,"","",""
0,"S Sarkar, SM Choudhury","Efficiency enhancement of c-Si/TiO2 heterojunction thin film solar cell using hybrid metal-dielectric nanostructures",2025,"Solar Energy","","","https://scholar.google.com",37,"2025-07-17 23:31:15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:CHSYGLWDkRkC",296,,113535,113535,0,0.00,0,2,1,"","",""
0,"A Sarker, SM Choudhury","Concentric annular-hexagonal plasmonic resonator with nanorod vertices for dual-band absorption in NIR and MIR for sensing applications",2025,"Optics Continuum","","","https://scholar.google.com",38,"2025-07-17 23:31:15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:nb7KW1ujOQ8C",4,5,1159,1173,0,0.00,0,2,1,"","",""
0,"MM Haque, SM Choudhury","DFT Analysis of Strain Effect in Bilayer 2D-SiC on Electrical, Optical, Phonon, and Thermodynamic Properties",2024,"2024 13th International Conference on Electrical and Computer Engineering …","","","https://scholar.google.com",39,"2025-07-17 23:31:15","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:KxtntwgDAa4C",,,,,0,0.00,0,2,1,"","",""
0,"P Mahmud, KF Supti, SM Choudhury","Lithium niobate photonic topological insulator-based multi-wavelength optical demultiplexer with piezoelectric switch-off",2024,"Optics Express","","","https://scholar.google.com",40,"2025-07-17 23:31:15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:EUQCXRtRnyEC",32,26,45786,45800,0,0.00,0,3,1,"","",""
0,"A Sarker, SM Choudhury","Design of Dual-Band Plasmonic Absorber for Biomedical Sensing and Environmental Monitoring",2024,"arXiv preprint arXiv:2411.","","","https://scholar.google.com",41,"2025-07-17 23:31:15","Preprint","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:xtRiw3GOFMkC",12356,,,,0,0.00,0,2,1,"","",""
0,"MAH Bhuiyan, P Das, SM Choudhury","Polarization insensitive electrically reconfigurable meta-lens for the 2 µm wavelength",2024,"Optical Materials Express","","","https://scholar.google.com",42,"2025-07-17 23:31:15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:NhqRSupF_l8C",14,12,2830,2843,0,0.00,0,3,1,"","",""
0,"MT Alam, Y Mahmud, ZJ Nikita, SM Choudhury","Gesture Controlled Bot with Temperature &Humidity (TH) Sensing Features",2024,"2024 2nd International Conference on Information and Communication …","","","https://scholar.google.com",43,"2025-07-17 23:31:15","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:1sJd4Hv_s6UC",,,,,0,0.00,0,4,1,"","",""
0,"ME Karim, SM Choudhury","Sb 2 S 3/AlGaAs-based reconfigurable metasurface for dynamic polarization and directionality control of quantum emitter emission",2024,"RSC advances","","","https://scholar.google.com",44,"2025-07-17 23:31:15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:_xSYboBqXhAC",14,40,29215,29228,0,0.00,0,2,1,"","",""
0,"A Mukit, MSH Bijoy, SM Choudhury, MT Mahmud","Discrete Modulated Continuous-Variable Quantum Key Distribution: Security and Noise Tolerance Enhanced by Decoy States and Effective Error Correction Protocol Integration",2023,"2023 IEEE International Conference on Telecommunications and Photonics (ICTP …","","","https://scholar.google.com",45,"2025-07-17 23:31:15","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:dfsIfKJdRG4C",,,,,0,0.00,0,4,2,"","",""
0,"S Sarkar, SM Choudhury","Design and Performance Analysis of a c-Si Thin-Film Solar Cell Using Plasmonic Ag Nanostructures",2023,"2023 IEEE International Conference on Telecommunications and Photonics (ICTP …","","","https://scholar.google.com",46,"2025-07-17 23:31:15","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:4OULZ7Gr8RgC",,,,,0,0.00,0,2,2,"","",""
0,"SA Khan, ST Azad, T Mondal, AJB Iqbal, SM Choudhury","Development of an Internet of Things based Bangla Calendar Clock",2023,"2023 26th International Conference on Computer and Information Technology …","","","https://scholar.google.com",47,"2025-07-17 23:31:15","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:ZHo1McVdvXMC",,,,,0,0.00,0,5,2,"","",""
0,"E Marinero-Caceres, A Toppo, S Choudhury, U Guler, Z Kudyshev, ...","Thermophotovoltaic system and method of making the same",2021,"US Patent App. 16/865,192","","","https://scholar.google.com",48,"2025-07-17 23:31:15","Patent","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:isC4tDSrTZIC",,,,,0,0.00,0,6,4,"","",""
0,"LJ Prokopeva, H Jiang, AV Kildishev, D Wang, SM Choudhury","Computationally efficient surface conductivity graphene model for tunable graphene-based devices (Conference Presentation)",2020,"2D Photonic Materials and Devices III 11282, 112820W","","","https://scholar.google.com",49,"2025-07-17 23:31:15","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:mVmsd5A6BfQC",,,,,0,0.00,0,5,5,"","",""
0,"SM Choudhury","Wavefront Manipulation with Metasurfaces Based on New Materials",2019,"Purdue University Graduate School","","","https://scholar.google.com",50,"2025-07-17 23:31:15","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:4DMP91E08xMC",,,,,0,0.00,0,1,6,"","",""
0,"ZA Kudyshev, LJ Prokopeva, M Song, SM Choudhury, AV Kildishev","Bi-anisotropic homogenization for efficient metasurface design",2018,"2018 International Applied Computational Electromagnetics Society Symposium …","","","https://scholar.google.com",51,"2025-07-17 23:31:15","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:3fE2CSJIrl8C",,,,,0,0.00,0,5,7,"","",""
0,"SM Choudhury, VA Zenin, S Saha, VM Shalaev, S Bozhevolnyi, ...","Novel hard mask fabrication method for hybrid plasmonic waveguide and metasurfaces",2017,"Laser Science, JTu2A.","","","https://scholar.google.com",52,"2025-07-17 23:31:15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:8k81kl-MbHgC",12,,,,0,0.00,0,6,8,"","",""
0,"SMLKMSHSMCAH Chowdhury","Developing A Low-Cost Multiple Motor Switched Photovoltaic Powered Irrigation System",2011,"Proceedings of the 3rd International Conference on Water and Flood …","","","https://scholar.google.com",53,"2025-07-17 23:31:15","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:P5F9QuxV20EC",,,,,0,0.00,0,1,14,"","",""
0,"SM Choudhury","Design of a fractal antenna based on hexaflake fractal structure",2011,"Department of Electrical and Electronic Engineering (EEE)","","","https://scholar.google.com",54,"2025-07-17 23:31:15","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:aqlVkmm33-oC",,,,,0,0.00,0,1,14,"","",""
